2016-06-03 09:13:15.676353: Found existing file: batman.jpg
2016-06-03 09:13:15.852718: Found existing file: batman.png
2016-06-03 09:13:16.036223: Found existing file: test_file.txt
2016-06-03 09:13:16.210042: Found existing file: test_file2.txt
2016-06-03 09:13:17.429966: Success: uploaded file test_file3.txt
2016-06-03 09:13:17.666864: Found existing file: testupload.txt
2016-06-03 09:13:17.831332: Found existing file: test_file2.txt
2016-06-03 09:50:55.369551: Found existing file: batman.jpg
2016-06-03 09:50:55.545177: Found existing file: batman.png
2016-06-03 09:50:55.719378: Found existing file: test_file.txt
2016-06-03 09:50:55.894701: Found existing file: test_file2.txt
2016-06-03 09:50:56.066527: Found existing file: testupload.txt
2016-06-03 09:50:56.233152: Found existing file: test_file2.txt
2016-06-03 09:52:37.486440: Found existing file: batman.jpg
2016-06-03 09:52:37.661758: Found existing file: batman.png
2016-06-03 09:52:37.845499: Found existing file: test_file.txt
2016-06-03 09:52:38.026259: Found existing file: test_file2.txt
2016-06-03 09:52:38.317923: Found existing file: testupload.txt
2016-06-03 09:52:38.509017: Found existing file: test_file2.txt
2016-06-03 09:53:32.221357: Found existing file: batman.jpg
2016-06-03 09:53:32.384426: Found existing file: batman.png
2016-06-03 09:53:32.563205: Found existing file: test_file.txt
2016-06-03 09:53:32.734420: Found existing file: test_file2.txt
2016-06-03 09:53:32.892669: Found existing file: testupload.txt
2016-06-03 09:53:33.055765: Found existing file: test_file2.txt
2016-06-03 09:53:38.746200: Found existing file: batman.jpg
2016-06-03 09:53:38.916071: Found existing file: batman.png
2016-06-03 09:53:39.092823: Found existing file: test_file.txt
2016-06-03 09:53:39.293860: Found existing file: test_file2.txt
2016-06-03 09:53:39.501997: Found existing file: testupload.txt
2016-06-03 09:53:39.659735: Found existing file: test_file2.txt
2016-06-03 09:53:55.040758: Found existing file: batman.jpg
2016-06-03 09:53:55.208134: Found existing file: batman.png
2016-06-03 09:53:55.390555: Found existing file: test_file.txt
2016-06-03 09:53:55.561712: Found existing file: test_file2.txt
2016-06-03 09:53:55.733519: Found existing file: testupload.txt
