1966.1.6.5,1966,reflections on a pool of water,"From a roll of photos described by Stafford as: November 1966, NCTE (National Council of Teachers of English), Houston (Rice University).",William Stafford,This image is the property of the Estate of William Stafford. Permission must be granted for use. ,jpg,photograph,,,,,,,,
1966.1.6.6,1966,Charlotte Huck and Herrmann C. Baptiste,"From a roll of photos described by Stafford as: November 1966, NCTE (National Council of Teachers of English), Houston (Rice University).",William Stafford,This image is the property of the Estate of William Stafford. Permission must be granted for use. ,jpg,photograph,,,,,,,,
1966.1.6.7,1966,out of focus image,"From a roll of photos described by Stafford as: November 1966, NCTE (National Council of Teachers of English), Houston (Rice University).",William Stafford,This image is the property of the Estate of William Stafford. Permission must be granted for use. ,jpg,photograph,,,,,,,,
1966.1.6.8,1966,William J. Scannell,"From a roll of photos described by Stafford as: November 1966, NCTE (National Council of Teachers of English), Houston (Rice University).",William Stafford,This image is the property of the Estate of William Stafford. Permission must be granted for use. ,jpg,photograph,,,,,,,,
1966.2.4.1,1966,WS portrait,From a roll of Stafford family photos dated 1966.,William Stafford,This image is the property of the Estate of William Stafford. Permission must be granted for use. ,jpg,photograph,,,,,,,,
1966.2.4.2,1966,Kit Stafford on telephone,From a roll of Stafford family photos dated 1966.,William Stafford,This image is the property of the Estate of William Stafford. Permission must be granted for use. ,jpg,photograph,,,,,,,,
1966.2.4.3,1966,Kim Stafford with camera at river,From a roll of Stafford family photos dated 1966.,William Stafford,This image is the property of the Estate of William Stafford. Permission must be granted for use. ,jpg,photograph,,,,,,,,
1966.2.4.4,1966,? [ask Kim or Dorothy],From a roll of Stafford family photos dated 1966.,William Stafford,This image is the property of the Estate of William Stafford. Permission must be granted for use. ,jpg,photograph,,,,,,,,
1966.2.5.1,1966,teacup,From a roll of Stafford family photos dated 1966.,William Stafford,This image is the property of the Estate of William Stafford. Permission must be granted for use. ,jpg,photograph,,,,,,,,
1966.2.5.2,1966,Bret Stafford and dog,From a roll of Stafford family photos dated 1966.,William Stafford,This image is the property of the Estate of William Stafford. Permission must be granted for use. ,jpg,photograph,,,,,,,,
1966.2.5.3,1966,Bret and Kim Stafford with dog,From a roll of Stafford family photos dated 1966.,William Stafford,This image is the property of the Estate of William Stafford. Permission must be granted for use. ,jpg,photograph,,,,,,,,
1966.2.5.4,1966,Bret Stafford and WS with dog,From a roll of Stafford family photos dated 1966.,William Stafford,This image is the property of the Estate of William Stafford. Permission must be granted for use. ,jpg,photograph,,,,,,,,
1966.2.7.1,1966,kitchen of Terrell Hill cabin,From a roll of Stafford family photos dated 1966.,William Stafford,This image is the property of the Estate of William Stafford. Permission must be granted for use. ,jpg,photograph,,,,,,,,
1966.2.7.2,1966,Terrell Hill cabin,From a roll of Stafford family photos dated 1966.,William Stafford,This image is the property of the Estate of William Stafford. Permission must be granted for use. ,jpg,photograph,,,,,,,,
1966.2.7.3,1966,Terrell Hill cabin,From a roll of Stafford family photos dated 1966.,William Stafford,This image is the property of the Estate of William Stafford. Permission must be granted for use. ,jpg,photograph,,,,,,,,
1966.2.7.4,1966,Dorothy Stafford at L&C College with Mt. Hood in background,From a roll of Stafford family photos dated 1966.,William Stafford,This image is the property of the Estate of William Stafford. Permission must be granted for use. ,jpg,photograph,,,,,,,,
